,R/H,TEMPERATURE,RESISTANCE,,,,
,56.9,25.94,1290.260,,,,
,56.9,25.94,1290.260,,,,
,56.8,25.94,1290.260,,,,
,56.8,25.94,1290.260,,,,
,56.9,25.94,1290.260,,,,`
,56.9,25.92,1290.260,,,,
,56.9,25.92,1290.260,,,,
,57,25.92,1290.260,,,,
,57,25.92,1290.260,,,,
,57.1,25.93,1290.260,,,,
,57,25.93,1290.260,,,,
,57,25.94,1290.260,,,,
,57.2,25.96,1290.260,,,,
,57.1,25.96,1290.260,,,,
,57,25.96,1290.260,,,,
,57,25.95,1290.260,,,,
,57.2,25.95,1290.260,,,,
,57.2,25.95,1290.260,,,,
,56.9,25.95,1290.260,,,,
,56.8,25.93,1290.260,,,,
,56.6,25.92,1290.260,,,,
,56.6,25.92,1290.260,,,,
,56.7,25.92,1290.260,,,,
,56.8,25.93,1290.260,,,,
,56.9,25.94,1290.260,,,,
,56.8,25.94,1290.260,,,,
,56.9,25.95,1290.260,,,,
,57,25.96,1290.260,,,,
,57,25.96,1290.260,,,,
,56.9,25.95,1290.260,,,,
,57,25.95,1290.260,,,,
,57,25.95,1290.260,,,,
,57,25.97,1290.270,,,,
,56.9,25.96,1290.270,,,,
,56.9,25.95,1290.270,,,,
,56.9,25.93,1290.270,,,,
,57,25.92,1290.270,,,,
,57,25.9,1290.270,,,,
,57.1,25.9,1290.260,,,,
,57,25.89,1290.270,,,,
,57.1,25.88,1290.270,,,,
,57,25.87,1290.260,,,,
,57.2,25.87,1290.270,,,,
,57.2,25.86,1290.270,,,,
,57.2,25.86,1290.260,,,,
,57.2,25.86,1290.260,,,,
,57.3,25.86,1290.260,,,,
,57.3,25.87,1290.270,,,,
,57.2,25.86,1290.270,,,,
,57.1,25.86,1290.270,,,,
,57.1,25.86,1290.260,,,,
,57.3,25.86,1290.260,,,,
,57.3,25.87,1290.260,,,,
,57.3,25.86,1290.260,,,,
,57.3,25.87,1290.260,,,,
,57.4,25.87,1290.260,,,,
,57.5,25.89,1290.260,,,,
,57.6,25.9,1290.260,,,,
,57.5,25.9,1290.260,,,,
,57.7,25.92,1290.260,,,,
,57.7,25.94,1290.260,,,,
,57.7,25.95,1290.270,,,,
,57.7,25.94,1290.270,,,,
,57.6,25.93,1290.270,,,,
,57.6,25.93,1290.270,,,,
,57.5,25.93,1290.270,,,,
,57.5,25.93,1290.270,,,,
,57.4,25.91,1290.270,,,,
,57.5,25.91,1290.270,,,,
,57.5,25.91,1290.270,,,,
,57.4,25.91,1290.270,,,,
,57.5,25.92,1290.270,,,,
,57.4,25.91,1290.270,,,,
,57.5,25.9,1290.270,,,,
,57.6,25.9,1290.270,,,,
,57.5,25.9,1290.270,,,,
,57.4,25.9,1290.270,,,,
,57.4,25.92,1290.270,,,,
,57.3,25.94,1290.270,,,,
,57.3,25.96,1290.270,,,,
,57.3,25.97,1290.270,,,,
,57.3,25.99,1290.270,,,,
,57.1,25.98,1290.270,,,,
,57.2,25.98,1290.270,,,,
,57.3,26,1290.270,,,,
,57.2,26,1290.270,,,,
,57.2,26,1290.270,,,,
,57.1,25.98,1290.270,,,,
,57.1,25.95,1290.270,,,,
,57.2,25.95,1290.270,,,,
,57.3,25.94,1290.270,,,,
,57.3,25.93,1290.270,,,,
,57.3,25.92,1290.280,,,,
,57.3,25.91,1290.270,,,,
,57.2,25.92,1290.270,,,,
,57.2,25.93,1290.270,,,,
,57.3,25.94,1290.280,,,,
,57.2,25.94,1290.280,,,,
,57,25.95,1290.280,,,,
,56.9,25.95,1290.280,,,,
,56.8,25.95,1290.280,,,,
,57.1,25.97,1290.280,,,,
,57.1,26,1290.280,,,,
,56.9,26.01,1290.280,,,,
,56.7,26,1290.280,,,,
,56.7,26,1290.280,,,,
,57,26.03,1290.280,,,,
,57.1,26.05,1290.280,,,,
,57.2,26.07,1290.280,,,,
,57.2,26.07,1290.280,,,,
,57.2,26.07,1290.280,,,,
,57.2,26.08,1290.280,,,,
,57.2,26.08,1290.280,,,,
,57.3,26.08,1290.280,,,,
,57.4,26.06,1290.280,,,,
,57.3,26.06,1290.280,,,,
,57.6,26.06,1290.280,,,,
,57.4,26.06,1290.280,,,,
,57.3,26.05,1290.280,,,,
,57.4,26.04,1290.280,,,,
,57.8,26.05,1290.280,,,,
,57.7,26.05,1290.280,,,,
,57.6,26.05,1290.280,,,,
,57.6,26.06,1290.280,,,,
,57.5,26.06,1290.280,,,,
,57.4,26.04,1290.280,,,,
,57.3,26.03,1290.280,,,,
,57.2,25.99,1290.280,,,,
,57.2,25.96,1290.280,,,,
,57.1,25.92,1290.280,,,,
,57.1,25.88,1290.280,,,,
,57,25.85,1290.280,,,,
,57.1,25.82,1290.280,,,,
,57,25.79,1290.280,,,,
,57.1,25.77,1290.270,,,,
,57,25.75,1290.270,,,,
,57,25.73,1290.270,,,,
,57,25.71,1290.270,,,,
,57,25.69,1290.270,,,,
,57,25.68,1290.270,,,,
