R/H,TEMPERATURE,RESISTANCE,,,,,,
56.9,26.14,1290.45,,,,,,
56.7,26.15,1290.45,,,,,,
56.6,26.14,1290.45,,,,,,
56.9,26.17,1290.45,,,,,,
57,26.19,1290.45,,,,,,
57.1,26.19,1290.45,,,,,,
57.3,26.2,1290.45,,,,,,
57.4,26.19,1290.46,,,,,,
57.2,26.16,1290.45,,,,,,
57.1,26.13,1290.45,,,,,,
57,26.09,1290.45,,,,,,
56.8,26.04,1290.45,,,,,,
56.6,26,1290.45,,,,,,
56.5,25.97,1290.45,,,,,,
56.5,25.95,1290.45,,,,,,
56.6,25.94,1290.45,,,,,,
56.6,25.94,1290.44,,,,,,
56.7,25.93,1290.44,,,,,,
56.8,25.91,1290.44,,,,,,
56.7,25.9,1290.44,,,,,,
56.8,25.9,1290.44,,,,,,
56.8,25.89,1290.44,,,,,,
56.7,25.87,1290.44,,,,,,
56.5,25.86,1290.44,,,,,,
56.5,25.86,1290.43,,,,,,
56.5,25.85,1290.43,,,,,,
56.5,25.85,1290.43,,,,,,
56.3,25.83,1290.43,,,,,,
56.3,25.83,1290.43,,,,,,
56.2,25.83,1290.43,,,,,,
56.2,25.83,1290.43,,,,,,
56.3,25.83,1290.43,,,,,,
56.2,25.82,1290.43,,,,,,
56,25.81,1290.42,,,,,,
56,25.8,1290.42,,,,,,
56,25.8,1290.42,,,,,,
56,25.8,1290.42,,,,,,
55.8,25.79,1290.42,,,,,,
55.9,25.79,1290.42,,,,,,
55.9,25.79,1290.42,,,,,,
55.8,25.78,1290.42,,,,,,
56,25.77,1290.42,,,,,,
56.1,25.76,1290.41,,,,,,
56.1,25.73,1290.41,,,,,,
55.9,25.72,1290.41,,,,,,
55.7,25.72,1290.41,,,,,,
55.8,25.72,1290.41,,,,,,
55.7,25.71,1290.41,,,,,,
55.6,25.7,1290.41,,,,,,
55.5,25.69,1290.41,,,,,,
55.4,25.68,1290.41,,,,,,
55.4,25.68,1290.4,,,,,,
55.3,25.67,1290.4,,,,,,
55.4,25.66,1290.4,,,,,,
55.3,25.64,1290.4,,,,,,
55.3,25.63,1290.4,,,,,,
55.2,25.62,1290.4,,,,,,
55.2,25.61,1290.4,,,,,,
55.2,25.6,1290.4,,,,,,
55.2,25.59,1290.39,,,,,,
55.1,25.58,1290.39,,,,,,
55.1,25.58,1290.39,,,,,,
55.1,25.57,1290.39,,,,,,
55.1,25.56,1290.39,,,,,,
55.1,25.56,1290.39,,,,,,
55.1,25.55,1290.39,,,,,,
55.1,25.55,1290.39,,,,,,
55,25.54,1290.39,,,,,,
55.1,25.53,1290.39,,,,,,
55.1,25.53,1290.38,,,,,,
55,25.51,1290.38,,,,,,
55,25.5,1290.38,,,,,,
55,25.5,1290.38,,,,,,
55,25.49,1290.38,,,,,,
55,25.49,1290.38,,,,,,
55,25.48,1290.38,,,,,,
55.1,25.48,1290.38,,,,,,
55,25.47,1290.37,,,,,,
55,25.47,1290.37,,,,,,
55,25.46,1290.37,,,,,,
55.1,25.46,1290.37,,,,,,
55.2,25.45,1290.37,,,,,,
55.3,25.44,1290.37,,,,,,
55.3,25.44,1290.37,,,,,,
55.3,25.42,1290.37,,,,,,
55.3,25.42,1290.37,,,,,,
55.2,25.41,1290.37,,,,,,
55.3,25.41,1290.36,,,,,,
55.3,25.41,1290.36,,,,,,
55.3,25.4,1290.36,,,,,,
55.3,25.4,1290.36,,,,,,
55.3,25.4,1290.36,,,,,,
55.3,25.39,1290.36,,,,,,
55.5,25.39,1290.36,,,,,,
55.5,25.38,1290.36,,,,,,
55.5,25.37,1290.36,,,,,,
55.5,25.36,1290.36,,,,,,
55.5,25.36,1290.36,,,,,,
55.5,25.35,1290.35,,,,,,
55.6,25.35,1290.36,,,,,,
55.6,25.34,1290.35,,,,,,
55.6,25.34,1290.35,,,,,,
55.7,25.34,1290.35,,,,,,
55.7,25.33,1290.35,,,,,,
55.7,25.32,1290.35,,,,,,
55.7,25.31,1290.35,,,,,,
55.8,25.31,1290.35,,,,,,
55.8,25.3,1290.35,,,,,,
55.8,25.29,1290.35,,,,,,
55.8,25.29,1290.35,,,,,,
55.9,25.29,1290.35,,,,,,
55.9,25.28,1290.35,,,,,,
