,R/H,TEMPERATURE,RESISTANCE,,,,,,,,
,57.6,25.88,1290.460,,,,,,,,
,57.8,25.9,1290.450,,,,,,,,
,57.9,25.92,1290.460,,,,,,,,
,57.9,25.9,1290.460,,,,,,,,
,57.7,25.86,1290.460,,,,,,,,
,57.7,25.81,1290.460,,,,,,,,
,57.5,25.76,1290.460,,,,,,,,
,57.5,25.72,1290.450,,,,,,,,
,57.4,25.68,1290.450,,,,,,,,
,57.4,25.65,1290.460,,,,,,,,
,57.5,25.63,1290.450,,,,,,,,
,57.5,25.6,1290.450,,,,,,,,
,57.5,25.59,1290.450,,,,,,,,
,57.5,25.57,1290.450,,,,,,,,
,57.5,25.55,1290.450,,,,,,,,
,57.5,25.53,1290.450,,,,,,,,
,57.4,25.52,1290.440,,,,,,,,
,57.4,25.5,1290.440,,,,,,,,
,57.4,25.48,1290.440,,,,,,,,
,57.4,25.46,1290.440,,,,,,,,
,57.4,25.46,1290.440,,,,,,,,
,57.4,25.44,1290.440,,,,,,,,
,57.3,25.44,1290.430,,,,,,,,
,57.3,25.43,1290.430,,,,,,,,
,57.3,25.42,1290.430,,,,,,,,
,57.2,25.41,1290.430,,,,,,,,
,57.3,25.4,1290.430,,,,,,,,
,57.2,25.39,1290.430,,,,,,,,
,57.2,25.38,1290.430,,,,,,,,
,57.2,25.37,1290.420,,,,,,,,
,57.2,25.36,1290.420,,,,,,,,
,57.2,25.35,1290.420,,,,,,,,
,57.2,25.35,1290.420,,,,,,,,
,57.2,25.34,1290.420,,,,,,,,
,57.2,25.34,1290.420,,,,,,,,
,57.1,25.33,1290.420,,,,,,,,
,57.1,25.33,1290.410,,,,,,,,
,57.1,25.32,1290.410,,,,,,,,
,57.1,25.32,1290.410,,,,,,,,
,57.1,25.31,1290.410,,,,,,,,
,57.1,25.3,1290.410,,,,,,,,
,57.1,25.3,1290.410,,,,,,,,
,57.1,25.29,1290.410,,,,,,,,
,57,25.29,1290.410,,,,,,,,
,57,25.27,1290.410,,,,,,,,
,57.1,25.26,1290.400,,,,,,,,
,57.1,25.25,1290.400,,,,,,,,
,57.1,25.24,1290.400,,,,,,,,
,57.1,25.23,1290.400,,,,,,,,
,57.1,25.22,1290.400,,,,,,,,
,57.1,25.21,1290.400,,,,,,,,
,57.1,25.2,1290.400,,,,,,,,
,57.1,25.19,1290.390,,,,,,,,
,57.1,25.19,1290.390,,,,,,,,
,57.1,25.18,1290.390,,,,,,,,
,57.1,25.18,1290.390,,,,,,,,
,57.1,25.17,1290.390,,,,,,,,
,57.1,25.17,1290.390,,,,,,,,
,57.1,25.16,1290.390,,,,,,,,
,57.1,25.15,1290.390,,,,,,,,
,57.1,25.15,1290.390,,,,,,,,
,57.1,25.14,1290.390,,,,,,,,
,57.1,25.14,1290.380,,,,,,,,
,57.1,25.13,1290.380,,,,,,,,
,57.1,25.13,1290.380,,,,,,,,
,57.1,25.12,1290.380,,,,,,,,
,57.1,25.11,1290.380,,,,,,,,
,57.1,25.1,1290.380,,,,,,,,
,57.1,25.09,1290.380,,,,,,,,
,57.1,25.09,1290.380,,,,,,,,
,57.1,25.09,1290.380,,,,,,,,
,57.1,25.08,1290.380,,,,,,,,
,57,25.08,1290.380,,,,,,,,
,57.1,25.07,1290.370,,,,,,,,
,57,25.08,1290.370,,,,,,,,
,57,25.07,1290.370,,,,,,,,
,57,25.07,1290.370,,,,,,,,
,57,25.07,1290.370,,,,,,,,
,57,25.07,1290.370,,,,,,,,
,56.9,25.06,1290.370,,,,,,,,
,56.9,25.06,1290.370,,,,,,,,
,56.9,25.05,1290.370,,,,,,,,
,56.9,25.04,1290.370,,,,,,,,
,56.9,25.04,1290.370,,,,,,,,
,56.9,25.03,1290.360,,,,,,,,
,56.9,25.03,1290.360,,,,,,,,
,56.9,25.02,1290.360,,,,,,,,
,56.9,25.02,1290.360,,,,,,,,
,56.9,25.01,1290.360,,,,,,,,
,56.9,25.01,1290.360,,,,,,,,
,56.9,25,1290.360,,,,,,,,
,56.9,25,1290.360,,,,,,,,
,56.9,25,1290.360,,,,,,,,
,56.9,25,1290.360,,,,,,,,
,56.9,25,1290.360,,,,,,,,
,56.9,24.99,1290.360,,,,,,,,
,56.9,24.98,1290.350,,,,,,,,
,56.9,24.98,1290.350,,,,,,,,
,56.8,24.98,1290.360,,,,,,,,
,56.8,24.98,1290.360,,,,,,,,
,56.8,24.98,1290.350,,,,,,,,
,56.8,24.98,1290.350,,,,,,,,
,56.8,24.98,1290.350,,,,,,,,
,56.8,24.98,1290.350,,,,,,,,
,56.7,24.98,1290.350,,,,,,,,
,56.7,24.97,1290.350,,,,,,,,
,56.7,24.97,1290.350,,,,,,,,
,56.7,24.97,1290.350,,,,,,,,
,56.7,24.96,1290.350,,,,,,,,
,56.7,24.96,1290.350,,,,,,,,
,56.7,24.95,1290.340,,,,,,,,
,56.7,24.95,1290.350,,,,,,,,
,56.7,24.94,1290.350,,,,,,,,
,56.7,24.94,1290.340,,,,,,,,
,56.7,24.93,1290.350,,,,,,,,
,56.7,24.92,1290.340,,,,,,,,
,56.7,24.92,1290.340,,,,,,,,
,56.7,24.91,1290.340,,,,,,,,
,56.7,24.91,1290.340,,,,,,,,
,56.7,24.91,1290.340,,,,,,,,
,56.7,24.91,1290.340,,,,,,,,
,56.7,24.91,1290.340,,,,,,,,
,56.6,24.91,1290.340,,,,,,,,
,56.6,24.91,1290.340,,,,,,,,
,56.6,24.9,1290.340,,,,,,,,
,56.6,24.91,1290.340,,,,,,,,
,56.6,24.9,1290.340,,,,,,,,
,56.6,24.9,1290.340,,,,,,,,
,56.6,24.9,1290.340,,,,,,,,
,56.6,24.9,1290.340,,,,,,,,
,56.6,24.9,1290.340,,,,,,,,
,56.6,24.89,1290.330,,,,,,,,
,56.6,24.89,1290.330,,,,,,,,
,56.6,24.89,1290.330,,,,,,,,
,56.6,24.89,1290.330,,,,,,,,
,56.6,24.89,1290.330,,,,,,,,
,56.5,24.88,1290.330,,,,,,,,
,56.5,24.88,1290.330,,,,,,,,
,56.5,24.87,1290.330,,,,,,,,
,56.5,24.87,1290.330,,,,,,,,
,56.5,24.86,1290.330,,,,,,,,
,56.5,24.86,1290.330,,,,,,,,
,56.5,24.86,1290.330,,,,,,,,
,56.5,24.86,1290.330,,,,,,,,
,56.5,24.86,1290.330,,,,,,,,
,56.5,24.85,1290.330,,,,,,,,
,56.5,24.85,1290.330,,,,,,,,
,56.5,24.85,1290.330,,,,,,,,
,56.5,24.85,1290.330,,,,,,,,
,56.5,24.84,1290.330,,,,,,,,
,56.5,24.84,1290.330,,,,,,,,
,56.5,24.84,1290.330,,,,,,,,
,56.5,24.84,1290.330,,,,,,,,
,56.5,24.84,1290.320,,,,,,,,
,56.5,24.84,1290.330,,,,,,,,
,56.4,24.84,1290.320,,,,,,,,
,56.4,24.83,1290.320,,,,,,,,
,56.4,24.82,1290.320,,,,,,,,
,56.4,24.82,1290.330,,,,,,,,
,56.4,24.82,1290.320,,,,,,,,
,56.4,24.82,1290.320,,,,,,,,
,56.4,24.82,1290.320,,,,,,,,
,56.4,24.82,1290.320,,,,,,,,
,56.4,24.82,1290.320,,,,,,,,
,56.4,24.82,1290.320,,,,,,,,
,56.4,24.82,1290.320,,,,,,,,
,56.4,24.81,1290.320,,,,,,,,
,56.4,24.81,1290.320,,,,,,,,
,56.4,24.81,1290.320,,,,,,,,
,56.4,24.81,1290.320,,,,,,,,
,56.4,24.81,1290.320,,,,,,,,
,56.4,24.81,1290.320,,,,,,,,
,56.4,24.8,1290.320,,,,,,,,
,56.4,24.8,1290.320,,,,,,,,
,56.4,24.8,1290.320,,,,,,,,
,56.4,24.81,1290.320,,,,,,,,
,56.3,24.81,1290.320,,,,,,,,
,56.3,24.8,1290.320,,,,,,,,
,56.3,24.8,1290.320,,,,,,,,
,56.4,24.8,1290.320,,,,,,,,
,56.3,24.79,1290.320,,,,,,,,
,56.3,24.79,1290.320,,,,,,,,
,56.3,24.79,1290.320,,,,,,,,
,56.4,24.78,1290.320,,,,,,,,
,56.3,24.78,1290.320,,,,,,,,
,56.3,24.78,1290.320,,,,,,,,
,56.4,24.78,1290.310,,,,,,,,
,56.4,24.78,1290.320,,,,,,,,
,56.3,24.78,1290.310,,,,,,,,
,56.3,24.78,1290.320,,,,,,,,
,56.3,24.77,1290.310,,,,,,,,
,56.3,24.76,1290.310,,,,,,,,
,56.3,24.76,1290.320,,,,,,,,
,56.3,24.76,1290.320,,,,,,,,
,56.3,24.76,1290.310,,,,,,,,
,56.3,24.76,1290.310,,,,,,,,
,56.3,24.75,1290.310,,,,,,,,
,56.4,24.76,1290.310,,,,,,,,
,56.3,24.75,1290.320,,,,,,,,
,56.3,24.75,1290.310,,,,,,,,
,56.3,24.75,1290.310,,,,,,,,
,56.3,24.75,1290.310,,,,,,,,
,56.3,24.76,1290.310,,,,,,,,
,56.3,24.75,1290.310,,,,,,,,
,56.3,24.75,1290.310,,,,,,,,
,56.3,24.74,1290.310,,,,,,,,
,56.3,24.74,1290.310,,,,,,,,
,56.3,24.75,1290.310,,,,,,,,
,56.3,24.74,1290.310,,,,,,,,
,56.3,24.75,1290.310,,,,,,,,
,56.3,24.75,1290.310,,,,,,,,
,56.3,24.75,1290.310,,,,,,,,
,56.3,24.75,1290.310,,,,,,,,
,56.3,24.75,1290.310,,,,,,,,
,56.3,24.74,1290.310,,,,,,,,
,56.3,24.74,1290.310,,,,,,,,
,56.3,24.74,1290.310,,,,,,,,
,56.3,24.74,1290.310,,,,,,,,
,56.3,24.74,1290.310,,,,,,,,
,56.4,24.74,1290.310,,,,,,,,
,56.4,24.74,1290.310,,,,,,,,
,56.4,24.74,1290.310,,,,,,,,
,56.4,24.74,1290.310,,,,,,,,
,56.5,24.73,1290.310,,,,,,,,
,56.5,24.73,1290.310,,,,,,,,
,56.5,24.73,1290.310,,,,,,,,
,56.5,24.73,1290.310,,,,,,,,
,56.5,24.74,1290.310,,,,,,,,
,56.5,24.74,1290.310,,,,,,,,
,56.5,24.73,1290.310,,,,,,,,
,56.5,24.74,1290.310,,,,,,,,
,56.5,24.74,1290.310,,,,,,,,
,56.5,24.73,1290.310,,,,,,,,
,56.5,24.73,1290.310,,,,,,,,
,56.5,24.73,1290.320,,,,,,,,
,56.5,24.73,1290.310,,,,,,,,
,56.5,24.72,1290.310,,,,,,,,
,56.5,24.72,1290.310,,,,,,,,
,56.5,24.72,1290.310,,,,,,,,
,56.5,24.72,1290.310,,,,,,,,
,56.5,24.72,1290.310,,,,,,,,
,56.5,24.72,1290.310,,,,,,,,
,56.5,24.71,1290.310,,,,,,,,
,56.4,24.72,1290.310,,,,,,,,
,56.4,24.71,1290.310,,,,,,,,
,56.4,24.71,1290.310,,,,,,,,
,56.4,24.71,1290.310,,,,,,,,
,56.4,24.71,1290.310,,,,,,,,
,56.4,24.71,1290.310,,,,,,,,
,56.4,24.71,1290.310,,,,,,,,
,56.4,24.71,1290.310,,,,,,,,
,56.4,24.71,1290.310,,,,,,,,
,56.3,24.7,1290.310,,,,,,,,
,56.3,24.7,1290.320,,,,,,,,
,56.3,24.7,1290.320,,,,,,,,
,56.3,24.7,1290.320,,,,,,,,
,56.3,24.7,1290.320,,,,,,,,
,56.3,24.69,1290.320,,,,,,,,
,56.3,24.69,1290.320,,,,,,,,
,56.2,24.69,1290.320,,,,,,,,
,56.2,24.69,1290.320,,,,,,,,
,56.2,24.69,1290.320,,,,,,,,
,56.2,24.68,1290.320,,,,,,,,
,56.2,24.68,1290.320,,,,,,,,
,56.2,24.68,1290.320,,,,,,,,
,56.2,24.68,1290.320,,,,,,,,
,56.2,24.68,1290.320,,,,,,,,
,56.1,24.68,1290.320,,,,,,,,
,56.1,24.68,1290.320,,,,,,,,
,56.1,24.68,1290.320,,,,,,,,
,56.1,24.67,1290.320,,,,,,,,
,56.1,24.67,1290.320,,,,,,,,
,56.1,24.67,1290.320,,,,,,,,
,56.1,24.67,1290.320,,,,,,,,
,56.1,24.67,1290.320,,,,,,,,
,56,24.67,1290.320,,,,,,,,
,56,24.67,1290.320,,,,,,,,
,56,24.67,1290.320,,,,,,,,
,56,24.66,1290.320,,,,,,,,
,56,24.67,1290.320,,,,,,,,
,56,24.67,1290.320,,,,,,,,
,55.9,24.66,1290.320,,,,,,,,
,55.9,24.66,1290.320,,,,,,,,
,55.9,24.66,1290.320,,,,,,,,
,55.9,24.66,1290.320,,,,,,,,
,55.9,24.66,1290.330,,,,,,,,
,55.9,24.65,1290.330,,,,,,,,
,55.9,24.65,1290.320,,,,,,,,
,55.9,24.66,1290.330,,,,,,,,
,55.8,24.65,1290.330,,,,,,,,
,55.8,24.65,1290.330,,,,,,,,
,55.8,24.65,1290.330,,,,,,,,
,55.8,24.65,1290.330,,,,,,,,
,55.8,24.65,1290.330,,,,,,,,
,55.8,24.65,1290.330,,,,,,,,
,55.8,24.64,1290.330,,,,,,,,
,55.8,24.64,1290.330,,,,,,,,
,55.8,24.64,1290.330,,,,,,,,
,55.7,24.64,1290.330,,,,,,,,
,55.7,24.64,1290.330,,,,,,,,
,55.7,24.63,1290.330,,,,,,,,
,55.7,24.63,1290.330,,,,,,,,
,55.7,24.63,1290.330,,,,,,,,
,55.7,24.62,1290.330,,,,,,,,
,55.7,24.62,1290.330,,,,,,,,
,55.7,24.63,1290.330,,,,,,,,
,55.7,24.63,1290.340,,,,,,,,
,55.7,24.63,1290.340,,,,,,,,
,55.7,24.63,1290.340,,,,,,,,
,55.7,24.62,1290.340,,,,,,,,
,55.7,24.62,1290.340,,,,,,,,
,55.7,24.62,1290.340,,,,,,,,
,55.7,24.62,1290.340,,,,,,,,
,55.7,24.62,1290.340,,,,,,,,
,55.7,24.62,1290.340,,,,,,,,
,55.7,24.62,1290.340,,,,,,,,
,55.6,24.62,1290.340,,,,,,,,
,55.6,24.62,1290.340,,,,,,,,
,55.6,24.62,1290.340,,,,,,,,
,55.6,24.62,1290.350,,,,,,,,
,55.6,24.62,1290.350,,,,,,,,
,55.6,24.61,1290.350,,,,,,,,
,55.6,24.61,1290.350,,,,,,,,
